"go_id","go_type","discription","p_corrected","neg_log10_fdr","enrich_factor","study_count"
"GO:0120254","BP","olefinic compound metabolic process",0.000192685631233,3.71515066992621,0.384615384615,10
"GO:0009812","BP","flavonoid metabolic process",0.00024754457772,3.60634658212617,0.411764705882,21
"GO:0010109","BP","regulation of photosynthesis",0.000192685631233,3.71515066992621,0.428571428571,9
"GO:0009813","BP","flavonoid biosynthetic process",0.000192685631233,3.71515066992621,0.428571428571,21
"GO:0030638","BP","polyketide metabolic process",0.000192685631233,3.71515066992621,0.47619047619,10
"GO:0030639","BP","polyketide biosynthetic process",0.000192685631233,3.71515066992621,0.47619047619,10
"GO:0009765","BP","photosynthesis, light harvesting",0.000192685631233,3.71515066992621,0.5,20
"GO:0009768","BP","photosynthesis, light harvesting in photosystem I",0.000192685631233,3.71515066992621,0.53125,17
"GO:0009800","BP","cinnamic acid biosynthetic process",0.000192685631233,3.71515066992621,0.875,7
"GO:0009803","BP","cinnamic acid metabolic process",0.000192685631233,3.71515066992621,0.875,7
"GO:0055035","CC","plastid thylakoid membrane",0.000253488631232,3.59604151366369,0.170603674541,65
"GO:0009535","CC","chloroplast thylakoid membrane",0.00030818926191,3.51118249726742,0.171503957784,65
"GO:0042651","CC","thylakoid membrane",0.000253488631232,3.59604151366369,0.174242424242,69
"GO:0034357","CC","photosynthetic membrane",0.000253488631232,3.59604151366369,0.174242424242,69
"GO:0009654","CC","photosystem II oxygen evolving complex",0.000253488631232,3.59604151366369,0.266666666667,12
"GO:0009523","CC","photosystem II",0.000253488631232,3.59604151366369,0.303278688525,37
"GO:0009521","CC","photosystem",0.00030818926191,3.51118249726742,0.311764705882,53
"GO:0010287","CC","plastoglobule",0.000253488631232,3.59604151366369,0.354838709677,11
"GO:0009522","CC","photosystem I",0.000192685631233,3.71515066992621,0.433734939759,36
"GO:0009538","CC","photosystem I reaction center",0.000192685631233,3.71515066992621,0.625,10
"GO:0016616","MF","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",0.00030818926191,3.51118249726742,0.12183908046,53
"GO:0043177","MF","organic acid binding",0.00030818926191,3.51118249726742,0.137931034483,24
"GO:0042562","MF","hormone binding",0.00030818926191,3.51118249726742,0.215384615385,14
"GO:0019840","MF","isoprenoid binding",0.000253488631232,3.59604151366369,0.225806451613,14
"GO:0010427","MF","abscisic acid binding",0.00030818926191,3.51118249726742,0.25,14
"GO:0016168","MF","chlorophyll binding",0.000253488631232,3.59604151366369,0.333333333333,20
"GO:0016841","MF","ammonia-lyase activity",0.00024593462728,3.60918031885022,0.470588235294,8
"GO:0016210","MF","naringenin-chalcone synthase activity",0.000253488631232,3.59604151366369,0.5,12
"GO:0045548","MF","phenylalanine ammonia-lyase activity",0.000253488631232,3.59604151366369,0.538461538462,7
"GO:0008453","MF","alanine-glyoxylate transaminase activity",0.00030818926191,3.51118249726742,0.6,6
